225.30			9.27			4489.93
197.14			14.41			7352.96
134.09			11.10			5569.72
199.20			8.52			4053.29
174.19			11.64			5801.05
160.13			9.11			4306.30
158.15			9.72			4703.33
195.13			12.73			6381.72
224.13			11.73			5798.11
225.30			9.64			4696.76
173.19			8.52			4030.96
216.19			11.33			5703.93
186.25			8.39			3907.29
156.18			9.18			4355.50
165.10			8.72			4011.95
186.21			9.07			4312.94
178.18			14.01			7185.71
182.04			15.45			7995.68
106.08			8.93			4035.71
238.32			9.60			4796.14
149.12			9.88			4677.27
257.30			11.62			5796.06
132.12			9.29			4322.77
244.28			14.59			7581.54
134.13			10.29			4962.96
180.14			10.28			4875.76
186.21			10.51			5242.83
302.36			13.42			6932.03
144.13			8.92			4325.05
148.16			11.74			5851.27
228.29			11.32			5740.39
136.10			13.48			6848.06
132.12			9.29			4322.77
146.10			9.49			4557.67
197.14			16.34			8438.83
212.14			12.59			6235.85
186.21			10.26			5042.84
211.13			16.30			8423.02
163.15			8.88			4097.62
130.10			8.90			4231.05
244.22			9.18			4505.30
186.21			11.74			5924.48
193.11			9.29			4410.19
148.11			11.45			5634.01
270.32			13.08			6777.57
271.29			9.49			4537.22
331.36			11.08			5555.89
136.10			13.33			6821.35
276.28			19.74			10433.58
134.09			9.39			4306.85
216.23			11.52			5851.58
240.13			14.95			7647.18
174.15			9.45			4586.63
195.08			11.44			5680.39
134.13			11.76			5846.56
162.10			9.11			4227.05
231.25			10.93			5467.04
118.13			9.07			4297.20
179.09			8.88			4140.65
174.19			12.85			6451.92
184.19			9.93			4885.86
116.12			9.12			4346.93
242.31			13.25			6819.59
283.36			8.27			3883.63
258.31			16.89			8847.96
176.12			13.10			6714.09
228.22			8.48			4037.73
240.13			15.07			7733.27
273.30			12.94			6611.46
240.30			10.29			5110.27
170.21			8.96			4330.68
257.30			10.08			4988.69
166.13			16.46			8585.82
180.11			13.65			6891.67
254.32			13.88			7187.99
204.22			14.29			7383.82
201.13			9.51			4696.10
253.31			9.57			4769.19
108.09			11.47			5645.93
226.12			9.76			4414.30
203.21			8.81			4141.57
186.25			11.00			5496.59
191.14			10.61			5264.06
245.23			9.02			4356.77
146.14			9.32			4336.24
134.13			10.10			4927.83
134.09			9.43			4414.31
186.21			8.78			4173.19
186.25			10.58			5224.62
194.27			8.33			3986.39
158.20			10.61			5169.71
227.13			15.38			7889.45
142.11			8.40			3949.58
258.31			14.54			7571.37
254.32			11.91			6088.46
233.13			13.07			6738.55
172.18			9.62			4756.06
174.15			12.51			6344.98
269.31			9.07			4448.01
162.14			11.45			5747.37
274.31			18.45			9727.11
213.23			8.70			4189.25
165.10			12.08			5976.03
270.32			9.96			4928.63
256.12			14.20			7206.52
235.15			11.22			5612.19
146.10			9.65			4552.20
92.09			8.79			4040.36
271.33			10.32			5138.32
146.14			10.33			5078.28
160.17			11.57			5781.99
180.14			10.35			4947.09
294.13			12.56			6419.18
224.13			11.52			5672.49
301.12			12.90			6538.20
258.31			14.21			7399.26
165.12			10.95			5218.10
184.19			9.88			4904.04
256.12			14.29			7283.12
249.13			13.16			6733.12
134.13			10.09			4923.02
231.20			8.37			3982.23
186.21			10.27			5101.82
270.32			13.17			6784.97
175.12			8.78			4100.98
288.29			17.22			9090.96
158.15			9.72			4703.33
175.16			11.13			5491.15
172.18			11.66			5843.83
243.28			11.18			5657.29
242.14			16.66			8643.74
261.23			12.88			6647.27
237.36			8.97			4376.16
223.18			9.72			4528.46
146.10			9.91			4856.24
269.14			9.99			4959.27
130.14			9.90			4697.68
118.13			8.94			4116.03
