#Compound                    Mass                        parameter_A              parameter_B
OXNCATCOOH                   265.174200000000            17.283761395419          9211.488013804435
MXNCATCOOH                   265.174200000000            17.538707844300          9365.027487301455
PETOLOOH                     218.203900000000            12.766343498700          6546.375557223281
OTNCATECO2                   278.192900000000            12.939094441354          6584.507357895329
DNEBNZLO                     277.165100000000            13.161115503275          6848.476638560211
METLMUCNO3                   247.202000000000            12.317713871312          6391.701054663083
DMEBMUOOH                    232.230400000000            13.478643803711          7088.061518664945
NC61CO3H                     249.131800000000            12.637957559495          6600.437887838973
MTNNCATCO                    307.191000000000            13.749515521963          7160.442038366586
C134OOH                      288.293700000000            16.375914155337          8872.132005720272
NDNMXYOLO                    322.162600000000            13.059789758732          6819.858691038762
C113OOH                      218.290000000000            12.171047916054          6334.593085539633
DNPHENOOH                    266.119200000000            16.932187755939          9067.198968467617
C516OOH                      164.113400000000            14.462607580490          7645.131819696584
DNMETOLOOH                   308.199000000000            17.868013658279          9621.724762886866
DMEPHOLOOH                   232.230400000000            12.945357697684          6661.431508648846
INB1HPCO3H                   227.126300000000            14.884621671135          7822.523334181302
OETOLOOH                     218.203900000000            12.766343498700          6546.375557223281
C1310CO                      256.294900000000            14.441065773065          7729.098503085333
C734CO                       174.151300000000            12.121499171066          6298.713959520791
MNCATECO                     234.140300000000            12.864696607533          6552.924043561457
INB1OH                       181.143900000000            12.727267768588          6510.470719221379
C535OOH                      180.112800000000            13.143416025325          6762.895051306151
C147OOH                      286.320900000000            15.877841712022          8558.774622985178
C131CO2H                     254.322100000000            11.938725030423          6279.608137781843
NDNPETOLO2                   352.188600000000            13.148583648909          6863.219545063096
C1211OOH                     244.284200000000            13.964317850934          7420.514696945645
DNT123LOOH                   308.199000000000            17.281438924980          9284.989736749485
PXNCATCOOH                   265.174200000000            17.283761395419          9211.488013804435
PXYMUCOOH                    204.177300000000            12.813966380480          6677.078322110194
IPNNCATCO2                   323.190400000000            13.377531189386          6925.642647498606
NORLIMOOH                    204.220300000000            12.415715792352          6484.211338376138
DNOETOLO                     291.191600000000            13.348795015255          6967.701743160014
NDNT123OOH                   353.196500000000            17.668807005450          9532.181853226177
DNT124LOOH                   308.199000000000            17.281438924980          9284.989736749485
C135O2                       301.269300000000            12.568108453003          6671.379735527388
NC524O                       196.135400000000            12.663421053395          6474.102584372629
C151O                        285.356000000000            13.609961392145          7218.980495126420
PBZMUCOH                     202.204500000000            12.432705613218          6433.606487595138
NNCATECO                     265.111300000000            12.694395130767          6486.355547576023
NC72OOH                      233.132400000000            12.538166204351          6601.351262164470
NDEMPLOOH                    291.254600000000            13.601199887362          7112.593447455664
C145O2                       303.328200000000            13.472049423642          7150.184536158225
C145OH                       288.336800000000            17.090755386314          9244.643961150419
C732OOH                      176.167200000000            12.235616118766          6342.152241529497
T124NCATO                    262.193500000000            12.905697742435          6602.063880597187
DETLMUNO3                    275.255200000000            12.970580493187          6800.469803245153
PETLQOOH                     200.188600000000            12.240068647751          6406.780886855423
KLIMONIC                     188.177900000000            12.791058694753          6696.007856535622
DNT124LO                     291.191600000000            12.895067993742          6700.860654243818
C143OOH                      272.337400000000            14.067576408567          7530.895322367981
DNPETOLO2                    307.191000000000            12.940437050644          6696.139947132471
C58NO3CO2H                   195.127500000000            14.400768857167          7503.035054470188
C139OH                       242.311400000000            14.265926225340          7524.144135753410
NDNIPBZLO2                   352.188600000000            13.167798243632          6888.096755267195
NDNMXYOLO2                   338.162000000000            12.688933513844          6574.356732104789
HPNC524CO                    211.126900000000            15.502423596989          8216.067171043500
ENCATECOOH                   265.174200000000            17.943272432313          9607.372521122217
NDNOETOLO2                   352.188600000000            13.148583648909          6863.219545063096
DNT124LO2                    307.191000000000            12.509596291971          6442.024813218021
NDNIPBLOOH                   353.196500000000            18.029645821888          9743.287165214966
LIMALOOH                     218.246900000000            12.901746944211          6784.041627973770
C813OH                       190.193800000000            13.710134208908          7184.383878626003
