#Compound                    Mass                        parameter_A              parameter_B
C734CO                       174.151300000000            12.670141162673          6543.166784477637
INB1OH                       181.143900000000            12.566158305002          6451.953138226250
C147OOH                      286.320900000000            13.714232027712          7645.619489508213
C131CO2H                     254.322100000000            12.238448085536          6420.794758660324
C1211OOH                     244.284200000000            12.895027613429          6934.528703111599
OXYOLOOH                     204.177300000000            12.045639192651          6418.416770079857
DETLBPROOH                   230.257600000000            12.383257516204          6452.151451048700
DNT123LOOH                   308.199000000000            11.692962124524          6203.155661296058
PXNCATCOOH                   265.174200000000            14.104255034796          7903.522489373082
IPNNCATCO2                   323.190400000000            12.825712834677          6533.131041896940
C127OOH                      228.284800000000            12.432341412363          6445.183788669690
NPXYQOOH                     231.159600000000            12.485531239981          6553.977988695449
NORLIMOOH                    204.220300000000            12.239815412897          6497.945915713650
NDNT123OOH                   353.196500000000            13.291967700778          6923.810866136146
DNT124LOOH                   308.199000000000            11.692962124524          6203.155661296058
NC524O                       196.135400000000            13.159585200520          6804.184115067525
C151O                        285.356000000000            13.553936045973          7263.492050109241
NCRESOOH                     235.148300000000            12.691711932153          6514.534899328236
NDEMPLOOH                    291.254600000000            14.003067267178          7425.635318171324
C145O2                       303.328200000000            13.628883637829          7424.057693338355
C145OH                       288.336800000000            14.371883584395          8112.152989263023
C732OOH                      176.167200000000            11.782341466930          6235.258479481409
NOXYQOOH                     231.159600000000            12.596375035171          6646.526473181220
PETLQOOH                     200.188600000000            11.808066682481          6457.859863246942
KLIMONIC                     188.177900000000            11.842627586905          6292.311531575839
C143OOH                      272.337400000000            13.553485487208          7452.204015348488
C58NO3CO2H                   195.127500000000            13.413421736844          7143.062260222054
C139OH                       242.311400000000            12.936759122301          7078.458225412683
HPNC524CO                    211.126900000000            13.608229969803          7344.675288708256
NOXYOLOOH                    249.174800000000            13.047261727357          6765.447128782801
ENCATECOOH                   265.174200000000            14.104255034796          7903.522489373082
NDNIPBLOOH                   353.196500000000            13.291967700778          6923.810866136146
LIMALOOH                     218.246900000000            12.595365180607          6748.858137296258
C813OH                       190.193800000000            12.867120414551          6802.317471115686
NDNT124OOH                   353.196500000000            13.291967700778          6923.810866136146
C128OH                       228.284800000000            12.245709447558          6501.781464072662
DNEBNZLOOH                   294.172400000000            12.045639192651          6418.416770079857
C1211CO2H                    256.294900000000            12.955313728117          6991.581753692974
HPC52CO3H                    198.128100000000            12.732721682669          7127.652480941409
PTLQOOH                      172.135400000000            11.207810924765          6048.583899562565
C142OOH                      256.338000000000            13.143440972225          6947.008238831630
C813NO3                      235.191300000000            14.333147945838          7380.663450366354
PXYOLOOH                     204.177300000000            12.045639192651          6418.416770079857
C122OOH                      232.316600000000            11.487407849577          6160.985988303235
C123OOH                      232.316600000000            12.069789024858          6425.085625421863
PNCATECOOH                   279.200800000000            14.459804852070          8154.434725092640
NMETOLOOH                    263.201400000000            13.291967700778          6923.810866136146
IPNCATCOOH                   279.200800000000            14.348961044020          8061.886236959291
INAHPCO2H                    211.126900000000            13.616403060135          7381.738611436261
BCLKAOOH                     270.321500000000            11.637194815691          6177.628329668468
TM123OLOOH                   218.203900000000            12.401188978948          6669.328996984133
INANCO2H                     240.125000000000            13.795597746185          7137.861639730620
C1212OOH                     260.283600000000            14.511428436692          8214.989768385596
C1310OH                      258.310800000000            14.534204836845          8220.684846692990
INB1NBCO2H                   240.125000000000            14.430747830250          7490.092611446824
C921OOH                      204.220300000000            11.902871051721          6435.889725558605
C734OOH                      192.166600000000            13.725191544408          7627.815708408590
NNCATECOOH                   282.118600000000            14.578527823669          7841.276885764740
MXNNCATOOH                   310.171800000000            15.067939774964          8158.004361780811
C1310OOH                     274.310200000000            15.116837771220          8669.282948357473
NDNCRESOOH                   325.143400000000            12.691711932153          6514.534899328236
NC524NO3                     242.140900000000            15.513362627942          8212.934599280639
NC102OOH                     261.228600000000            13.370117598302          6818.192352734833
NDNOXYLOOH                   339.170000000000            13.047261727357          6765.447128782801
PTNNCATCO2                   323.190400000000            12.936556617562          6625.679522861957
MXYOLOOH                     204.177300000000            11.934795412277          6325.868289834313
C826OOH                      190.193800000000            11.884265643628          6247.033693684652
C719OOH                      176.167200000000            13.238952075703          7103.483108047608
C730OOH                      178.183100000000            12.767084360256          6844.158114180790
BCLKBOOH                     270.321500000000            11.748038616460          6270.176815753306
C152OH                       286.363900000000            12.606647376995          6631.788114519598
C141OO                       270.321500000000            12.238448085536          6420.794758660324
PNCATECO2                    278.192900000000            11.936899920652          6278.649171785622
MNNCATCOOH                   296.145200000000            14.823233794955          7999.640622546959
NCATECOOH                    237.121100000000            13.503999276926          7494.246525625438
C148OOH                      286.141600000000            11.862228746851          6254.665658295477
INB1NACO3H                   256.124400000000            13.729414651428          6992.129505465149
BCALOH                       270.364500000000            12.365380930859          6554.750792958948
PXNNCATOOH                   310.171800000000            15.178783568757          8250.552845844219
NMXYQOOH                     231.159600000000            12.485531239981          6553.977988695449
C144OOH                      272.337400000000            13.352501544728          7197.216135146485
C145O                        287.328800000000            13.628883637829          7424.057693338355
INB2OOH                      197.143300000000            12.769139636675          6690.629491843835
C1313OOH                     258.310800000000            12.996951770826          6946.303911791164
C128OOH                      244.284200000000            12.842385953463          6950.379572663029
PTNCATECO2                   278.192900000000            11.936899920652          6278.649171785622
C813OOH                      206.193200000000            14.047136422325          7624.540428027416
